iso,year,total_foreign_debt,total_debt_GDP,GDP_percapita
IBT,2017,NA,NA,4858.92833931345
IDA,2008,NA,NA,992.849279106391
IDA,2012,NA,NA,1254.49141653378
IDA,2017,NA,NA,1345.32433324963
IDB,2008,NA,NA,1478.56429321211
IDB,2012,NA,NA,1864.97324943436
IDB,2017,NA,NA,1733.46049894139
IDN,2008,157.9065,28.305,2166.85416700025
IDN,2012,252.5569,27.521,3694.34894603237
IDN,2017,354.3519,34.899,3836.91381389271
IDN_Sura,2008,NA,NA,NA
IDN_Sura,2012,NA,NA,NA
IDN_Sura,2017,NA,NA,NA
IDX,2008,NA,NA,738.817200102766
IDX,2012,NA,NA,932.959874719449
IDX,2017,NA,NA,1147.04662371405
IMN,2008,NA,NA,70994.4089541263
IMN,2012,NA,NA,76104.681367227
IMN,2017,NA,NA,NA
IND,2008,227.1114,18.92,998.522269363666
IND,2012,392.6252,21.493,1443.87952939042
IND,2017,513.2093,19.354,1981.49904456819
INDI,2008,NA,NA,NA
INDI,2012,NA,NA,NA
INDI,2017,NA,NA,NA
INDO,2008,NA,NA,NA
INDO,2012,NA,NA,NA
INDO,2017,NA,NA,NA
IND_Delh,2008,NA,NA,NA
IND_Delh,2012,NA,NA,NA
IND_Delh,2017,NA,NA,NA
INX,2008,NA,NA,NA
INX,2012,NA,NA,NA
INX,2017,NA,NA,NA
IOT,2008,NA,NA,NA
IOT,2012,NA,NA,NA
IOT,2017,NA,NA,NA
IRL,2008,NA,NA,61262.1005610307
IRL,2012,NA,NA,48945.980232793
IRL,2017,NA,NA,68941.8066532278
IRN,2008,16.0267,3.887,5630.44299454113
IRN,2012,7.4722,1.239,7927.64754158673
IRN,2017,6.2763,1.362,5627.74926845456
IRQ,2008,82.635154,62.8,4636.61097758271
IRQ,2012,60.2,27.6,6836.0273134631
IRQ,2017,72.063596,37.3,5143.66123200793
ISL,2008,122.70015,685.317,56409.7734569066
ISL,2012,101.94665,692.516,45910.0209039774
ISL,2017,22.14304,90.391,71314.774196294
ISR,2008,88.507906,40.981,29548.0635193115
ISR,2012,101.95505,39.643,32543.4551534637
ISR,2017,88.590953,25.081,40543.5841665702
ITA,2008,NA,NA,40640.1838581691
ITA,2012,NA,NA,34814.1251168487
ITA,2017,NA,NA,32155.2058659338
JAM,2008,11.2378,81.972,4917.71839830304
JAM,2012,16.6787,112.674,5206.90672221284
JAM,2017,14.972,106.1,5060.54492360667
JAP,2008,NA,NA,NA
JAP,2012,NA,NA,NA
JAP,2017,NA,NA,NA
JEY,2008,NA,NA,NA
JEY,2012,NA,NA,NA
JEY,2017,NA,NA,NA
JOR,2008,13.9691,62.695,3388.80383210455
JOR,2012,18.4845,58.922,3827.29445062868
JOR,2017,30.0356,73.781,4168.64160383499
JPN,2008,NA,NA,39339.2975731826
JPN,2012,NA,NA,48603.4766497749
JPN,2017,NA,NA,38331.9793978104
JPN_Osak,2008,NA,NA,NA
JPN_Osak,2012,NA,NA,NA
JPN_Osak,2017,NA,NA,NA
KAZ,2008,106.7308,78.334,8513.56464506814
KAZ,2012,135.5266,67.743,12386.7000029472
KAZ,2017,167.4847,105.544,9030.31880602652
KEN,2008,7.6593,21.341,902.070025813736
KEN,2012,11.8938,23.592,1136.87140571776
KEN,2017,26.427472,33.555,1568.20154066387
KGZ,2008,3.6286,70.596,966.393627185372
KGZ,2012,6.0361,91.385,1177.97473487848
KGZ,2017,8.1611,105.948,1242.76964282023
KHM,2008,2.466,23.822,745.609180660928
KHM,2012,6.5612,46.684,950.880345993697
KHM,2017,11.8984,53.698,1385.2599796333
KIR,2008,NA,NA,1428.12051619855
KIR,2012,NA,NA,1788.50542068887
KIR,2017,NA,NA,1625.575969558
KNA,2008,0.2457,33.251,16465.0501402388
KNA,2012,0.189463,25.8,16044.1161268912
KNA,2017,0.201781,20.9,19060.5707200677
KOR,2008,311.27403,29.669,20430.6394600807
KOR,2012,398.39472,31.172,24358.7821758226
KOR,2017,380.507,23.444,29742.8388613471
KSV,2008,NA,NA,NA
KSV,2012,NA,NA,NA
KSV,2017,NA,NA,NA
KWT,2008,48.072007,32.618,55495.2311281074
KWT,2012,35.920132,20.6,51978.9984836395
KWT,2017,49.070449000000004,41.1,29474.5414315342
LAC,2008,NA,NA,7673.02329945337
LAC,2012,NA,NA,9815.65085298267
LAC,2017,NA,NA,8959.80202540338
LAO,2008,5.6535,103.85,900.323671821273
LAO,2012,7.4222,72.818,1581.39540349425
LAO,2017,14.4982,86.027,2423.8462031921
LBN,2008,43.9073,150.226,6134.13043009095
LBN,2012,55.6039,125.713,7985.85494092208
LBN,2017,73.5264,137.706,7838.34338489943
LBR,2008,3.1608,183.129,478.399937913334
LBR,2012,0.4872,17.905,657.936256349955
LBR,2017,1.1375,34.622,698.70176435511
LBY,2008,5.606888,5.9,14382.5762948433
LBY,2012,6.160461,7.6,13025.2813934413
LBY,2017,3.020227,7.4,5792.06510994303
LCA,2008,0.8321,64.895,7568.45341379871
LCA,2012,0.4281,29.795,8139.89204607164
LCA,2017,0.6216,36.861,10003.2598650984
LCN,2008,NA,NA,7951.52838902874
LCN,2012,NA,NA,10177.5629651185
LCN,2017,NA,NA,9397.62070912358
LDC,2008,NA,NA,735.284413570415
LDC,2012,NA,NA,940.308857628177
LDC,2017,NA,NA,1092.65396589394
LIC,2008,NA,NA,597.422347932578
LIC,2012,NA,NA,733.24722953866
LIC,2017,NA,NA,766.517216376315
LIE,2008,NA,NA,143255.981619193
LIE,2012,NA,NA,149010.224898665
LIE,2017,NA,NA,NA
LKA,2008,16.3208,35,2037.32210302668
LKA,2012,35.7359,52.219,3350.52187589289
LKA,2017,50.142,56.967,4104.63098320435
LMC,2008,NA,NA,1366.37700201687
LMC,2012,NA,NA,1907.16161491627
LMC,2017,NA,NA,2187.49882855239
LMY,2008,NA,NA,3110.29393360563
LMY,2012,NA,NA,4404.94673532867
LMY,2017,NA,NA,4743.06386199689
LSO,2008,0.7,37.42,884.962674751359
LSO,2012,0.8772,32.75,1329.27497081723
LSO,2017,0.9357,36.137,1232.78691893924
LTE,2008,NA,NA,5406.47792530949
LTE,2012,NA,NA,7976.08038533614
LTE,2017,NA,NA,8943.25320963468
LTU,2008,32.0008,66.553,14961.5681759187
LTU,2012,NA,NA,14341.1816279932
LTU,2017,NA,NA,16809.6482569674
LUX,2008,NA,NA,114293.84332087
LUX,2012,NA,NA,106749.013622989
LUX,2017,NA,NA,104498.738671031
LVA,2008,42.0335,117.605,16348.53120679
LVA,2012,NA,NA,13822.8055940347
LVA,2017,NA,NA,15684.558518649
MAC,2008,NA,NA,40597.5574823323
MAC,2012,NA,NA,76291.8474900231
MAC,2017,NA,NA,81208.882074735
MAF,2008,NA,NA,NA
MAF,2012,NA,NA,NA
MAF,2017,NA,NA,NA
MAR,2008,20.9569,22.655,2890.36008322739
MAR,2012,33.8508,34.448,2912.65827494029
MAR,2017,49.7522,45.344,3036.17106160684
MCO,2008,NA,NA,185721.794154104
MCO,2012,NA,NA,157515.899069445
MCO,2017,NA,NA,166726.051925682
MDA,2008,3.7245,61.513,1695.97281114375
